TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-03-28 17:30:49.390,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,846.1539,854.61536,855.0183,850.989,873.5531,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.394,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,864.2857,853.00366,855.0183,862.27106,887.25275,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.395,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,888.46155,850.58606,853.4066,872.74725,853.8095,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.397,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,865.09155,852.1978,852.1978,855.0183,859.45056,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.399,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,840.10986,852.1978,850.18317,848.5714,867.50916,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.402,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,841.7216,853.8095,850.989,850.58606,843.73627,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.405,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,857.8388,855.42126,851.79486,853.4066,809.89014,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.408,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,886.04395,853.4066,851.79486,868.315,828.4249,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.410,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,873.1502,854.61536,855.0183,856.63007,857.03296,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.412,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,851.39197,854.61536,857.03296,849.7802,840.9158,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.414,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,851.39197,852.1978,857.8388,857.03296,863.0769,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.416,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,861.06226,851.79486,857.4359,865.09155,849.3773,-0.0947265625,0.11737060546875,0.990478515625,-0.635528564453125,2.28790283203125,2.96829223632812,1,1,1,1,1,41.25,
2018-03-28 17:30:49.418,0.71639234,0.6033446,-0.0046553356,0.84272283,0.15176697,-0.26833835,-0.445303,0.3543113,0.49284548,-0.21360038,-0.29974335,0.5812739,0.31521925,-0.4470723,-0.28958663,0.41695583,-0.024886793,-0.730148,-0.73796123,0.26475954,893.2967,853.00366,854.21246,880,830.0366,-0.08880615234375,0.12030029296875,0.9964599609375,0.306549072265625,2.08602905273437,2.930908203125,1,1,1,1,1,41.25,
